0,1,2,3,4,5,6,7,8,9,welfare,fairness,score
candidato7,candidato9,candidato5,candidato2,candidato1,candidato6,candidato3,candidato10,candidato4,candidato8,0.0985896231,0.5705902978272165,0.42042042042042044
candidato9,candidato6,candidato10,candidato2,candidato1,candidato5,candidato3,candidato4,candidato8,candidato7,0.08511510250000001,0.7968151448903545,0.0980980980980981
candidato7,candidato6,candidato4,candidato1,candidato8,candidato3,candidato5,candidato9,candidato2,candidato10,0.10974180409999999,0.4118000037964045,0.7747747747747747
candidato5,candidato9,candidato4,candidato8,candidato6,candidato7,candidato3,candidato10,candidato1,candidato2,0.09640220550000002,0.7452369391037188,0.2902902902902903
candidato4,candidato2,candidato1,candidato8,candidato5,candidato6,candidato9,candidato3,candidato10,candidato7,0.11951530490000001,0.35319978851105155,0.943943943943944
candidato5,candidato9,candidato1,candidato4,candidato3,candidato8,candidato10,candidato6,candidato2,candidato7,0.102557788,0.6290435338227017,0.5005005005005005
candidato6,candidato9,candidato8,candidato7,candidato5,candidato3,candidato1,candidato4,candidato10,candidato2,0.0875245521,0.8226627359487788,0.13013013013013014
candidato1,candidato7,candidato3,candidato6,candidato9,candidato8,candidato5,candidato2,candidato10,candidato4,0.1080937255,0.5858559457518854,0.6316316316316316
candidato2,candidato10,candidato8,candidato1,candidato3,candidato5,candidato6,candidato4,candidato7,candidato9,0.0960919188,0.6249474365556901,0.34134134134134136
candidato2,candidato5,candidato1,candidato8,candidato4,candidato3,candidato9,candidato7,candidato10,candidato6,0.119770469,0.33635452725940956,0.9529529529529529
candidato1,candidato3,candidato4,candidato10,candidato6,candidato7,candidato2,candidato5,candidato9,candidato8,0.11666847070000003,0.3891998418870654,0.8948948948948949
candidato10,candidato7,candidato2,candidato3,candidato6,candidato1,candidato8,candidato4,candidato5,candidato9,0.09428825100000002,0.6562488796214674,0.2982982982982983
candidato5,candidato6,candidato8,candidato10,candidato1,candidato3,candidato7,candidato4,candidato9,candidato2,0.09858014159999999,0.7049066893742322,0.35235235235235235
candidato8,candidato5,candidato9,candidato7,candidato6,candidato4,candidato1,candidato2,candidato10,candidato3,0.08855508200000001,0.8092572100517987,0.14314314314314314
candidato9,candidato3,candidato6,candidato8,candidato5,candidato2,candidato1,candidato10,candidato7,candidato4,0.0964857929,0.6695589266938748,0.34134134134134136
candidato10,candidato2,candidato6,candidato8,candidato5,candidato9,candidato4,candidato1,candidato3,candidato7,0.0889516111,0.853061891922046,0.13013013013013014
candidato4,candidato2,candidato9,candidato8,candidato6,candidato5,candidato1,candidato10,candidato7,candidato3,0.1034136642,0.6107717446213994,0.5345345345345346
candidato7,candidato5,candidato10,candidato2,candidato6,candidato3,candidato4,candidato9,candidato8,candidato1,0.09640460330000002,0.6650688974725828,0.34034034034034033
candidato5,candidato3,candidato6,candidato8,candidato2,candidato4,candidato7,candidato9,candidato1,candidato10,0.11539790549999998,0.3521538512849137,0.8998998998998999
candidato9,candidato7,candidato3,candidato10,candidato5,candidato6,candidato2,candidato8,candidato4,candidato1,0.08677650199999999,0.8833427045262021,0.1001001001001001
candidato8,candidato9,candidato5,candidato2,candidato7,candidato1,candidato10,candidato4,candidato6,candidato3,0.08692771580000001,0.8673112087517687,0.11011011011011011
candidato5,candidato2,candidato9,candidato7,candidato6,candidato8,candidato1,candidato3,candidato10,candidato4,0.10088827839999999,0.6709532791258321,0.42042042042042044
candidato4,candidato3,candidato10,candidato2,candidato1,candidato5,candidato7,candidato8,candidato6,candidato9,0.1094395848,0.42027034604586166,0.7687687687687688
candidato4,candidato5,candidato9,candidato3,candidato10,candidato6,candidato2,candidato8,candidato1,candidato7,0.10081457909999998,0.6619696573199643,0.4314314314314314
candidato7,candidato1,candidato5,candidato6,candidato4,candidato10,candidato9,candidato2,candidato8,candidato3,0.10772415440000001,0.5895402036213959,0.6206206206206206
candidato6,candidato5,candidato2,candidato10,candidato3,candidato9,candidato8,candidato4,candidato1,candidato7,0.10505807260000001,0.6582440721900154,0.46846846846846846
candidato6,candidato9,candidato3,candidato7,candidato10,candidato8,candidato5,candidato2,candidato1,candidato4,0.08814673110000001,0.9454294489795505,0.06406406406406406
candidato1,candidato2,candidato3,candidato9,candidato7,candidato6,candidato4,candidato10,candidato5,candidato8,0.11802619619999999,0.36858637079293277,0.918918918918919
candidato1,candidato5,candidato6,candidato9,candidato2,candidato10,candidato3,candidato7,candidato4,candidato8,0.1102727607,0.5274887073705309,0.7087087087087087
candidato10,candidato6,candidato7,candidato1,candidato4,candidato2,candidato5,candidato9,candidato3,candidato8,0.0934991121,0.6363410332385674,0.27927927927927926
candidato8,candidato5,candidato3,candidato7,candidato9,candidato2,candidato1,candidato6,candidato10,candidato4,0.100124872,0.6483386283017079,0.44144144144144143
candidato5,candidato8,candidato4,candidato9,candidato2,candidato10,candidato6,candidato1,candidato7,candidato3,0.0968009739,0.7873160293244034,0.23923923923923923
candidato5,candidato2,candidato8,candidato6,candidato9,candidato7,candidato1,candidato4,candidato10,candidato3,0.1030085375,0.6504142757527919,0.47647647647647645
candidato7,candidato9,candidato3,candidato1,candidato5,candidato2,candidato4,candidato10,candidato6,candidato8,0.1009375096,0.5180374541840936,0.5025025025025025
candidato10,candidato5,candidato9,candidato1,candidato8,candidato4,candidato3,candidato2,candidato7,candidato6,0.082025031,0.9068526809311106,0.05405405405405406
candidato8,candidato1,candidato5,candidato6,candidato4,candidato3,candidato10,candidato7,candidato2,candidato9,0.10816953900000001,0.46382619963027055,0.7297297297297297
candidato2,candidato8,candidato3,candidato1,candidato9,candidato7,candidato6,candidato4,candidato5,candidato10,0.1066660577,0.5308804914906771,0.6596596596596597
candidato8,candidato1,candidato2,candidato7,candidato6,candidato10,candidato3,candidato4,candidato9,candidato5,0.10305307700000002,0.63018846719933,0.5065065065065065
candidato8,candidato6,candidato10,candidato7,candidato9,candidato2,candidato3,candidato5,candidato4,candidato1,0.07795840309999999,1.056197758978163,0.012012012012012012
candidato1,candidato5,candidato10,candidato2,candidato6,candidato8,candidato7,candidato3,candidato9,candidato4,0.1030274751,0.6385197679201494,0.4954954954954955
